dim,filtration_a,filtration_b,duration_all,duration_eigs,duration_L,duration_L_up,duration_L_down,duration_sum_up_down,L_rows,betti,lambda
0,0,0.0625,0,0,0,0,0,0,4,3,8
1,0,0.0625,0,0,0,0,0,0,0,0,0
2,0,0.0625,0,0,0,0,0,0,0,0,0
0,0.0625,0.25,0,0,0,0,0,0,4,1,2
1,0.0625,0.25,0,0,0,0,0,0,1,0,8
2,0.0625,0.25,0,0,0,0,0,0,0,0,0
0,0.25,0.4,0,0,0,0,0,0,4,1,2.34615
1,0.25,0.4,0,0,0,0,0,0,4,1,2
2,0.25,0.4,0,0,0,0,0,0,0,0,0
0,0.4,0.4,0,0,0,0,0,0,4,1,2.34615
1,0.4,0.4,0,0,0,0,0,0,5,0,1.63177
2,0.4,0.4,0,0,0,0,0,0,1,0,2.33333
0,0.4,0.4,0,0,0,0,0,0,4,1,2.34615
1,0.4,0.4,0,0,0,0,0,0,5,0,1.63177
2,0.4,0.4,0,0,0,0,0,0,2,0,1.63177
